name
肖申克的救赎 The Shawshank Redemption
霸王别姬
泰坦尼克号 Titanic
阿甘正传 Forrest Gump
千与千寻 千と千尋の神隠し
美丽人生 La vita è bella
这个杀手不太冷 Léon
星际穿越 Interstellar
盗梦空间 Inception
楚门的世界 The Truman Show
辛德勒的名单 Schindler's List
忠犬八公的故事 Hachi: A Dog's Tale
海上钢琴师 La leggenda del pianista sull'oceano
三傻大闹宝莱坞 3 Idiots
疯狂动物城 Zootopia
放牛班的春天 Les choristes
机器人总动员 WALL·E
无间道 無間道
控方证人 Witness for the Prosecution
大话西游之大圣娶亲 西遊記大結局之仙履奇緣
熔炉 도가니
触不可及 Intouchables
教父 The Godfather
寻梦环游记 Coco
当幸福来敲门 The Pursuit of Happyness
末代皇帝 The Last Emperor
哈利·波特与魔法石 Harry Potter and the Sorcerer's Stone
龙猫 となりのトトロ
怦然心动 Flipped
活着
蝙蝠侠：黑暗骑士 The Dark Knight
指环王3：王者无敌 The Lord of the Rings: The Return of the King
我不是药神
乱世佳人 Gone with the Wind
飞屋环游记 Up
让子弹飞
哈尔的移动城堡 ハウルの動く城
素媛 소원
十二怒汉 12 Angry Men
海蒂和爷爷 Heidi
猫鼠游戏 Catch Me If You Can
天空之城 天空の城ラピュタ
摔跤吧！爸爸 Dangal
鬼子来了
少年派的奇幻漂流 Life of Pi
钢琴家 The Pianist
指环王2：双塔奇兵 The Lord of the Rings: The Two Towers
死亡诗社 Dead Poets Society
大话西游之月光宝盒 西遊記第壹佰零壹回之月光寶盒
何以为家 كفرناحوم
闻香识女人 Scent of a Woman
绿皮书 Green Book
大闹天宫
黑客帝国 The Matrix
指环王1：护戒使者 The Lord of the Rings: The Fellowship of the Ring
罗马假日 Roman Holiday
教父2 The Godfather: Part II
狮子王 The Lion King
天堂电影院 Nuovo Cinema Paradiso
饮食男女 飲食男女
辩护人 변호인
搏击俱乐部 Fight Club
本杰明·巴顿奇事 The Curious Case of Benjamin Button
美丽心灵 A Beautiful Mind
穿条纹睡衣的男孩 The Boy in the Striped Pajamas
情书 Love Letter
窃听风暴 Das Leben der Anderen
"两杆大烟枪 Lock, Stock and Two Smoking Barrels"
哈利·波特与死亡圣器(下) Harry Potter and the Deathly Hallows: Part 2
音乐之声 The Sound of Music
